table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
dvdrental,pg_catalog,pg_proc,proname,1,NULL,NO,name,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,name,NULL,NULL,NULL,NULL,1,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,pronamespace,2,NULL,NO,oid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,oid,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,proowner,3,NULL,NO,oid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,oid,NULL,NULL,NULL,NULL,3,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,prolang,4,NULL,NO,oid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,oid,NULL,NULL,NULL,NULL,4,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,procost,5,NULL,NO,real,NULL,NULL,24,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,float4,NULL,NULL,NULL,NULL,5,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,prorows,6,NULL,NO,real,NULL,NULL,24,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,float4,NULL,NULL,NULL,NULL,6,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,provariadic,7,NULL,NO,oid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,oid,NULL,NULL,NULL,NULL,7,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,protransform,8,NULL,NO,regproc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,regproc,NULL,NULL,NULL,NULL,8,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,prokind,9,NULL,NO,"""char""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,char,NULL,NULL,NULL,NULL,9,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,prosecdef,10,NULL,NO,boolean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,bool,NULL,NULL,NULL,NULL,10,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,pg_catalog,pg_proc,proleakproof,11,NULL,NO,boolean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,pg_catalog,bool,NULL,NULL,NULL,NULL,11,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
